Instance Name, CC2 Result, CLEVER Result, Reve Result
./multLibs/EQ_Add/1 , equiv; 0.310000, equiv; 0.250000, equiv; 0.360000
./multLibs/EQ_Add/10 , equiv; 0.710000, equiv; 0.250000, equiv; 0.030000
./multLibs/EQ_Add/11 , equiv; 0.780000, equiv; 0.270000, equiv; 0.020000
./multLibs/EQ_Add/12 , equiv; 0.850000, equiv; 0.270000, equiv; 0.030000
./multLibs/EQ_Add/13 , equiv; 0.920000, equiv; 0.280000, equiv; 0.030000
./multLibs/EQ_Add/14 , equiv; 1.030000, equiv; 0.280000, equiv; 0.020000
./multLibs/EQ_Add/15 , equiv; 1.080000, equiv; 0.280000, equiv; 0.030000
./multLibs/EQ_Add/2 , equiv; 0.370000, equiv; 0.240000, equiv; 0.020000
./multLibs/EQ_Add/3 , equiv; 0.390000, equiv; 0.240000, equiv; 0.020000
./multLibs/EQ_Add/4 , equiv; 0.420000, equiv; 0.230000, equiv; 0.020000
./multLibs/EQ_Add/5 , equiv; 0.460000, equiv; 0.250000, equiv; 0.020000
./multLibs/EQ_Add/6 , equiv; 0.500000, equiv; 0.240000, equiv; 0.020000
./multLibs/EQ_Add/7 , equiv; 0.550000, equiv; 0.240000, equiv; 0.020000
./multLibs/EQ_Add/8 , equiv; 0.610000, equiv; 0.250000, equiv; 0.020000
./multLibs/EQ_Add/9 , equiv; 0.660000, equiv; 0.250000, equiv; 0.030000
./multLibs/EQ_Const/1 , equiv; 0.300000, equiv; 0.250000, equiv; 0.050000
./multLibs/EQ_Const/10 , equiv; 0.720000, equiv; 0.260000, equiv; 0.020000
./multLibs/EQ_Const/11 , equiv; 0.790000, equiv; 0.280000, equiv; 0.030000
./multLibs/EQ_Const/12 , equiv; 0.880000, equiv; 0.280000, equiv; 0.030000
./multLibs/EQ_Const/13 , equiv; 0.940000, equiv; 0.280000, equiv; 0.030000
./multLibs/EQ_Const/14 , equiv; 1.030000, equiv; 0.250000, equiv; 0.030000
./multLibs/EQ_Const/15 , equiv; 1.070000, equiv; 0.240000, equiv; 0.030000
./multLibs/EQ_Const/2 , equiv; 0.380000, equiv; 0.250000, equiv; 0.020000
./multLibs/EQ_Const/3 , equiv; 0.400000, equiv; 0.240000, equiv; 0.020000
./multLibs/EQ_Const/4 , equiv; 0.440000, equiv; 0.210000, equiv; 0.020000
./multLibs/EQ_Const/5 , equiv; 0.430000, equiv; 0.240000, equiv; 0.020000
./multLibs/EQ_Const/6 , equiv; 0.510000, equiv; 0.250000, equiv; 0.020000
./multLibs/EQ_Const/7 , equiv; 0.560000, equiv; 0.250000, equiv; 0.030000
./multLibs/EQ_Const/8 , equiv; 0.620000, equiv; 0.230000, equiv; 0.030000
./multLibs/EQ_Const/9 , equiv; 0.670000, equiv; 0.250000, equiv; 0.020000
./multLibs/EQ_LoopMult20/1 , equiv; 1.980000, equiv; 0.540000, timeout; 300.000000
./multLibs/EQ_LoopMult20/10 , equiv; 14.220000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_LoopMult20/11 , equiv; 15.000000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_LoopMult20/12 , equiv; 15.980000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_LoopMult20/13 , equiv; 17.260000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_LoopMult20/14 , equiv; 18.240000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_LoopMult20/15 , equiv; 19.520000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_LoopMult20/2 , equiv; 1.390000, equiv; 1.030000, timeout; 300.000000
./multLibs/EQ_LoopMult20/3 , equiv; 3.160000, equiv; 2.850000, timeout; 300.000000
./multLibs/EQ_LoopMult20/4 , equiv; 11.120000, equiv; 12.350000, timeout; 300.000000
./multLibs/EQ_LoopMult20/5 , equiv; 11.410000, equiv; 67.730000, timeout; 300.000000
./multLibs/EQ_LoopMult20/6 , equiv; 11.790000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_LoopMult20/7 , equiv; 12.260000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_LoopMult20/8 , equiv; 12.830000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_LoopMult20/9 , equiv; 13.420000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_LoopUnreach20/1 , equiv; 1.420000, equiv; 0.290000, equiv; 0.020000
./multLibs/EQ_LoopUnreach20/10 , equiv; 14.290000, equiv; 77.890000, equiv; 0.030000
./multLibs/EQ_LoopUnreach20/11 , equiv; 15.140000, equiv; 282.300000, equiv; 0.030000
