Instance Name, CC2 Result, CLEVER Result, Reve Result
./nestedMerge/EQ_AddEQ_LoopMult20/libA , equiv; 1.044200, equiv; 0.099900, equiv; 0.030000
./nestedMerge/EQ_AddEQ_UnchLoop/libA , equiv; 40.258400, equiv; 0.099900, equiv; 0.300000
./nestedMerge/EQ_AddEQ_odd/libA , equiv; 0.819700, equiv; 0.083500, unknown; 0.020000
./nestedMerge/EQ_AddEQ_pos/libA , equiv; 11.172800, equiv; 0.104800, unknown; 0.020000
./nestedMerge/EQ_AddEQ_pos2/libA , equiv; 0.250100, equiv; 0.085600, not equiv; 0.030000
./nestedMerge/EQ_AddEXTRA_ultra_prime_sum/libA , equiv; 79.068700, equiv; 0.112200, unknown; 0.180000
./nestedMerge/EQ_ConstEQ_LoopMult20/libA , equiv; 1.028000, equiv; 0.094700, equiv; 0.020000
./nestedMerge/EQ_ConstEQ_UnchLoop/libA , equiv; 40.278100, equiv; 0.106600, equiv; 0.300000
./nestedMerge/EQ_ConstEQ_odd/libA , equiv; 0.829600, equiv; 0.083200, unknown; 0.020000
./nestedMerge/EQ_ConstEQ_pos/libA , equiv; 11.215200, equiv; 0.110000, unknown; 0.020000
./nestedMerge/EQ_ConstEQ_pos2/libA , equiv; 0.290000, equiv; 0.091600, not equiv; 0.030000
./nestedMerge/EQ_ConstEXTRA_ultra_prime_sum/libA , equiv; 78.140200, equiv; 0.105200, unknown; 0.180000
./nestedMerge/EQ_LoopMult20EQ_Add/libA , equiv; 0.180800, equiv; 0.128700, equiv; 0.020000
./nestedMerge/EQ_LoopMult20EQ_Const/libA , equiv; 0.162100, equiv; 0.137200, equiv; 0.050000
./nestedMerge/EQ_LoopMult20EQ_LoopMult20/libA , equiv; 1.796900, equiv; 0.390200, timeout; 300.000000
./nestedMerge/EQ_LoopMult20EQ_LoopUnreach20/libA , equiv; 1.214100, equiv; 0.150200, equiv; 0.020000
./nestedMerge/EQ_LoopMult20EQ_UnchLoop/libA , equiv; 40.275200, equiv; 0.142500, equiv; 0.360000
./nestedMerge/EQ_LoopMult20EQ_divide/libA , equiv; 0.180900, equiv; 0.123200, equiv; 0.030000
./nestedMerge/EQ_LoopMult20EQ_getSign2/libA , equiv; 0.952000, equiv; 0.163800, equiv; 0.030000
./nestedMerge/EQ_LoopMult20EQ_is_prime1/libA , equiv; 1.068900, equiv; 0.127200, unknown; 0.060000
./nestedMerge/EQ_LoopMult20EQ_is_prime2/libA , not equiv; 1.197700, not equiv; 0.413700, unknown; 0.020000
./nestedMerge/EQ_LoopMult20EQ_is_prime3/libA , equiv; 2.305000, equiv; 0.253600, unknown; 0.020000
./nestedMerge/EQ_LoopMult20EQ_ltfive/libA , equiv; 0.425200, equiv; 0.157700, equiv; 0.030000
./nestedMerge/EQ_LoopMult20EQ_ltfiveBound/libA , equiv; 0.480000, equiv; 0.181700, equiv; 0.030000
./nestedMerge/EQ_LoopMult20EQ_multiple/libA , equiv; 0.903800, equiv; 0.171700, equiv; 0.030000
./nestedMerge/EQ_LoopMult20EQ_multipleBound/libA , equiv; 0.972000, equiv; 0.195700, equiv; 0.020000
./nestedMerge/EQ_LoopMult20EQ_odd/libA , equiv; 1.109700, equiv; 0.248300, unknown; 0.020000
./nestedMerge/EQ_LoopMult20EQ_one/libA , equiv; 0.395200, equiv; 0.152200, equiv; 0.030000
./nestedMerge/EQ_LoopMult20EQ_oneBound/libA , equiv; 0.440400, equiv; 0.164500, equiv; 0.030000
./nestedMerge/EQ_LoopMult20EQ_oneN2/libA , equiv; 0.392300, equiv; 0.142400, equiv; 0.030000
./nestedMerge/EQ_LoopMult20EQ_pos/libA , equiv; 0.679600, equiv; 0.423400, unknown; 0.020000
./nestedMerge/EQ_LoopMult20EQ_pos2/libA , equiv; 0.289700, equiv; 0.429400, not equiv; 0.030000
./nestedMerge/EQ_LoopMult20EQ_pos3/libA , equiv; 0.895200, equiv; 0.133500, equiv; 0.020000
./nestedMerge/EQ_LoopMult20EXTRA_ultra_prime_sum/libA , equiv; 77.933400, equiv; 0.392200, unknown; 1.230000
./nestedMerge/EQ_LoopMult20NEQ_LoopMult20/libA , not equiv; 2.447600, not equiv; 0.340600, not equiv; 0.170000
./nestedMerge/EQ_LoopMult20NEQ_LoopUnreach20/libA , not equiv; 0.464400, not equiv; 0.155400, not equiv; 0.020000
./nestedMerge/EQ_LoopMult20NEQ_getSign/libA , equiv; 1.072400, equiv; 0.168500, equiv; 0.030000
./nestedMerge/EQ_LoopUnreach20EQ_LoopMult20/libA , equiv; 1.784900, equiv; 0.391400, timeout; 300.000000
./nestedMerge/EQ_LoopUnreach20EQ_UnchLoop/libA , equiv; 40.320900, equiv; 0.137600, equiv; 0.360000
./nestedMerge/EQ_LoopUnreach20EQ_odd/libA , equiv; 1.109000, equiv; 0.249400, unknown; 0.010000
./nestedMerge/EQ_LoopUnreach20EQ_pos/libA , equiv; 0.676500, equiv; 0.425900, unknown; 0.010000
./nestedMerge/EQ_LoopUnreach20EQ_pos2/libA , equiv; 0.284200, equiv; 0.423500, not equiv; 0.030000
./nestedMerge/EQ_LoopUnreach20EXTRA_ultra_prime_sum/libA , equiv; 77.798900, equiv; 0.394600, unknown; 1.230000
./nestedMerge/EQ_UnchLoopEQ_Add/libA , equiv; 0.162800, equiv; 0.091200, equiv; 0.010000
./nestedMerge/EQ_UnchLoopEQ_Const/libA , equiv; 0.146900, equiv; 0.093000, equiv; 0.020000
./nestedMerge/EQ_UnchLoopEQ_LoopMult20/libA , equiv; 1.034800, equiv; 0.103700, equiv; 0.030000
./nestedMerge/EQ_UnchLoopEQ_LoopUnreach20/libA , equiv; 1.033200, equiv; 0.100300, equiv; 0.020000
./nestedMerge/EQ_UnchLoopEQ_UnchLoop/libA , equiv; 40.280000, equiv; 0.099300, equiv; 0.290000
./nestedMerge/EQ_UnchLoopEQ_divide/libA , equiv; 0.164600, equiv; 0.085400, equiv; 0.020000
./nestedMerge/EQ_UnchLoopEQ_getSign2/libA , equiv; 0.758400, equiv; 0.083100, equiv; 0.020000
./nestedMerge/EQ_UnchLoopEQ_is_prime1/libA , equiv; 0.956200, equiv; 0.091200, unknown; 0.020000
./nestedMerge/EQ_UnchLoopEQ_is_prime2/libA , equiv; 2.039500, equiv; 0.093400, unknown; 0.020000
./nestedMerge/EQ_UnchLoopEQ_is_prime3/libA , equiv; 1.248200, equiv; 0.099900, unknown; 0.020000
./nestedMerge/EQ_UnchLoopEQ_ltfive/libA , equiv; 1.069000, equiv; 0.085800, equiv; 0.020000
./nestedMerge/EQ_UnchLoopEQ_ltfiveBound/libA , equiv; 0.430300, equiv; 0.087700, equiv; 0.030000
./nestedMerge/EQ_UnchLoopEQ_multiple/libA , equiv; 0.784500, equiv; 0.084800, equiv; 0.020000
./nestedMerge/EQ_UnchLoopEQ_multipleBound/libA , equiv; 0.812700, equiv; 0.085900, equiv; 0.020000
./nestedMerge/EQ_UnchLoopEQ_odd/libA , equiv; 0.806300, equiv; 0.083600, unknown; 0.020000
./nestedMerge/EQ_UnchLoopEQ_one/libA , not equiv; 0.594500, not equiv; 0.090400, not equiv; 0.020000
./nestedMerge/EQ_UnchLoopEQ_oneBound/libA , equiv; 0.422800, equiv; 0.087200, equiv; 0.030000
./nestedMerge/EQ_UnchLoopEQ_oneN2/libA , equiv; 1.049500, equiv; 0.083800, equiv; 0.020000
./nestedMerge/EQ_UnchLoopEQ_pos/libA , equiv; 11.135700, equiv; 0.101700, unknown; 0.020000
./nestedMerge/EQ_UnchLoopEQ_pos2/libA , equiv; 0.241400, equiv; 0.084500, not equiv; 0.030000
./nestedMerge/EQ_UnchLoopEQ_pos3/libA , equiv; 0.757300, equiv; 0.084500, equiv; 0.020000
./nestedMerge/EQ_UnchLoopEXTRA_ultra_prime_sum/libA , equiv; 77.977600, equiv; 0.107800, unknown; 0.180000
./nestedMerge/EQ_UnchLoopNEQ_LoopMult20/libA , equiv; 1.043600, equiv; 0.104600, equiv; 0.030000
./nestedMerge/EQ_UnchLoopNEQ_LoopUnreach20/libA , equiv; 0.933100, equiv; 0.098200, equiv; 0.020000
./nestedMerge/EQ_UnchLoopNEQ_getSign/libA , equiv; 0.913600, equiv; 0.102000, equiv; 0.020000
./nestedMerge/EQ_divideEQ_LoopMult20/libA , equiv; 1.831100, equiv; 0.403800, timeout; 300.000000
./nestedMerge/EQ_divideEQ_UnchLoop/libA , equiv; 40.328500, equiv; 0.126200, equiv; 0.360000
./nestedMerge/EQ_divideEQ_odd/libA , equiv; 12.519700, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_divideEQ_pos/libA , equiv; 22.411500, timeout; 300.000000, unknown; 0.010000
./nestedMerge/EQ_divideEQ_pos2/libA , equiv; 0.330900, timeout; 300.000000, not equiv; 0.030000
./nestedMerge/EQ_divideEXTRA_ultra_prime_sum/libA , equiv; 76.306900, timeout; 300.000000, unknown; 0.260000
./nestedMerge/EQ_getSign2EQ_LoopMult20/libA , equiv; 1.860600, equiv; 0.414500, timeout; 300.000000
./nestedMerge/EQ_getSign2EQ_UnchLoop/libA , equiv; 40.330700, equiv; 0.126100, equiv; 0.300000
