Instance Name, CC2 Result, CC2 (Concurrent Enabled) Result
./nestedMerge/EQ_AddEQ_LoopMult20/libA , equiv; 0.841800, equiv; 0.805300
./nestedMerge/EQ_AddEQ_UnchLoop/libA , equiv; 40.253300, equiv; 40.279900
./nestedMerge/EQ_AddEQ_odd/libA , equiv; 0.885300, equiv; 0.877400
./nestedMerge/EQ_AddEQ_pos/libA , equiv; 11.171200, equiv; 11.872100
./nestedMerge/EQ_AddEQ_pos2/libA , equiv; 0.245600, equiv; 0.361300
./nestedMerge/EQ_AddEXTRA_ultra_prime_sum/libA , equiv; 83.041500, equiv; 56.503300
./nestedMerge/EQ_ConstEQ_LoopMult20/libA , equiv; 1.024000, equiv; 1.032800
./nestedMerge/EQ_ConstEQ_UnchLoop/libA , equiv; 40.325500, equiv; 40.586600
./nestedMerge/EQ_ConstEQ_odd/libA , equiv; 2.649900, equiv; 2.428300
./nestedMerge/EQ_ConstEQ_pos/libA , equiv; 13.017600, equiv; 13.136000
./nestedMerge/EQ_ConstEQ_pos2/libA , equiv; 0.665200, equiv; 0.629600
./nestedMerge/EQ_ConstEXTRA_ultra_prime_sum/libA , equiv; 104.534800, equiv; 67.999900
./nestedMerge/EQ_LoopMult20EQ_Add/libA , equiv; 0.420700, equiv; 0.417300
./nestedMerge/EQ_LoopMult20EQ_Const/libA , equiv; 0.443000, equiv; 0.431300
./nestedMerge/EQ_LoopMult20EQ_LoopMult20/libA , equiv; 3.883500, equiv; 2.398900
./nestedMerge/EQ_LoopMult20EQ_LoopUnreach20/libA , equiv; 1.448200, equiv; 1.416500
./nestedMerge/EQ_LoopMult20EQ_UnchLoop/libA , equiv; 40.376800, equiv; 40.600900
./nestedMerge/EQ_LoopMult20EQ_divide/libA , equiv; 0.443700, equiv; 0.445900
./nestedMerge/EQ_LoopMult20EQ_getSign2/libA , equiv; 2.621400, equiv; 2.663000
./nestedMerge/EQ_LoopMult20EQ_is_prime1/libA , equiv; 3.081000, equiv; 2.760300
./nestedMerge/EQ_LoopMult20EQ_is_prime2/libA , not equiv; 2.856500, not equiv; 3.310200
./nestedMerge/EQ_LoopMult20EQ_is_prime3/libA , equiv; 4.424300, equiv; 4.280400
